;Caption;Population;True size;Comment;Source
33;GLV/BCV: Main Transmitters;closed;;is assumed to be closed since last change occurred in 1992;
34;You've Come a Long Way, Baby: Release history;closed;;past, closed time period;
35;David Johnston University Cup: University Cup Final appearances | By team;open;;new row for each new participating university;
36;Rochester Americans: Season-by-season results;open;;continuous list with new row per  season;
37;Overtime (ice hockey): List of notable overtime games | Czech hockey;closed;4;list standardized to 3;
38;Mitsubishi GTO: 1994 Spyder Z15A1994 - 1997 Z15A (2WS) and Z16A (4WS) | Reception;closed;;past, closed time period;
39;Wacken Open Air: Lineups 1990 - current | 1993;closed;;past, closed time period;
40;Patrick Warburton: Filmography | Video games;open;;active artist/athlete;
41;Phil Mickelson: Major championships | Results timeline;open;;active artist/athlete;
42;Bentley Continental GT: Second generation (2011 - 2018) | 2014 Model year update | Body styles;closed;;past, closed time period;
43;United Kingdom corporation tax: Example computation;closed;;assumed to be closed (table no longer exists);
44;Robert Englund: Filmography | Television;open;;active artist/athlete;
45;Betty Boo: Discography | Albums;open;;active artist/athlete;
46;Eugene Joseph Delporte: List of discovered minor planets;closed;67;deceased scientist;https://link.springer.com/referenceworkentry/10.1007/978-0-387-30400-7_349
47;The Thin Blue Line (TV series): Episodes;closed;;TV series was discontinued;
48;Knoebels Amusement Resort: Rides and attractions | Roller coasters;open;;new roller costers are added;
49;Bryan Trottier: Coaching statistics;closed;;retired;
50;FK Austria Wien: European record;open;;continuous list with new row per year;
51;United States congressional delegations from Wisconsin: House of Representatives | Delegation timeline (1835 - present) | Members of the United States House of Representatives;open;;continuous list, new items are added as new rows;
52;PFC Levski Sofia: Club officials | First Team;closed;;number of club officials is assumed to be closed, People who fill these positions may nevertheless change ;
53;2004 NHL Entry Draft: Draftees based on nationality;closed;23;past, closed time period;https://www.eliteprospects.com/draft/nhl-entry-draft/2004
54;The Score (Fugees album): Charts and certifications | Weekly charts;closed;;past, closed time period;
55;Adam Gilchrist: Achievements | ODI highlights;closed;;retired artist/athlete;
56;Telekom Romania: Radio frequency summary;closed;;similar to list of animal species;
57;List of Colombian films: 1940s;closed;;past, closed time period;
58;1995/96 United States network television schedule: Monday;closed;;past, closed time period;
59;List of presidents of Benin: Latest election;open;;is subject to change (table no longer exists);
60;I Get Lonely: Charts and certifications | Year-end charts;closed;;Chart positions of non-current pieces of music are considered closed;
61;List of solar car teams: Italy;open;;continuous list, new items are added as new rows;
62;Irakleio, Attica: Historical population;closed;;past, closed time period;
63;List of actors who played the president of the United States: Presidents who played themselves | Films;open;;continuous list, new items are added as new rows;
64;Hereford (UK Parliament constituency): Members of Parliament | MPs 1640 - 1885;closed;;past, closed time period;
65;Crime Story (American TV series): DVD releases;closed;;TV series was discontinued;
66;Catherine Tanvier: WTA Tour Finals | Singles 5 (1-4);closed;2;retired artist/athlete;https://www.wtatennis.com/players/200007/catherine-tanvier#matches
67;California's Great America: Halloween Haunt | Attraction history;closed;;event was discontinued;
68;Katowice Airport: Statistics | Busiest routes;closed;11;list standardized to 10;
69;Soviet ruble: Historical Soviet rubles | Sixth Soviet ruble, 1961 - 1991 | Banknotes;closed;;past, closed time period;
70;Sesil Karatantcheva: Grand Slam performance timeline;closed;;retired artist/athlete;
71;Donna Murphy: Awards and nominations;open;;active artist/athlete;
72;Fabrice Santoro: Doubles titles | Runners-up (18);closed;;retired artist/athlete;
73;Don't Cry: Charts and certifications | Weekly charts;closed;;Chart positions of non-current pieces of music are considered closed;
74;Paid tha Cost to Be da Boss: Charts | Year-end charts;closed;;Chart positions of non-current pieces of music are considered closed;
75;Cincinnati Stingers: Season-by-season record;closed;;team ceased to exist;
76;Battle of M?awa: Opposing forces | Poland;closed;;past, closed time period;
77;Christian Democratic Centre: Electoral results | Italian Parliament;closed;;political party is no longer active;
78;San Antonio Talons: Notable coaches | Head coaches;open;;continuous list, new items are added as new rows;
79;The Rippingtons: Discography | Live albums;open;;active artist/athlete;
80;US Open Series: Series tournaments | Tournaments;closed;8;fixed length of the season;https://www.usopenseries.com/
81;Andy Houston: Motorsports career results | NASCAR | Winston Cup Series;closed;4;retired artist/athlete;https://www.driverdb.com/drivers/andy-houston/
82;Joyce Cheng: Discography;open;;active artist/athlete;
83;Angel (Sarah McLachlan song): Charts and certifications | Year-end charts;closed;;Chart positions of non-current pieces of music are considered closed;
84;List of programmes broadcast by TV 2 (Norway): E;open;;TV program is subject to change;
85;2006 Nova Scotia general election: Opinion polls;closed;;past, closed time period;
86;Andy Reid (Irish footballer): Career statistics | International goals;closed;5;retired artist/athlete;https://peoplepill.com/people/andy-reid-2
87;List of England ODI cricketers: Players;open;;new items are added as new rows;
88;Another Part of Me: Charts | Weekly charts;closed;;Chart positions of non-current pieces of music are considered closed;
89;Flaine: Skiing | Lift system;open;;lift system is subject to change;
90;Michael Cudlitz: Filmography | Film;open;;active artist/athlete;
91;Ed Reardon's Week: Episode list | Series 10;closed;7;past, closed time period;https://www.comedy.co.uk/radio/ed_reardons_week/episodes/10/
92;David Live: Charts;closed;;Chart positions of non-current pieces of music are considered closed;
93;2005 NRL season: Season summary | Teams;closed;16;past, closed time period;https://www.rugbyleagueproject.org/seasons/nrl-2005/summary.html
94;The Smoggies: Episodes;closed;;past, closed time period;
95;Order-5 dodecahedral honeycomb: Related polytopes and honeycombs | Cantitruncated order-5 dodecahedral honeycomb;closed;;similar to list of animal species;
96;Rob Schremp: Career statistics | Regular season and playoffs;open;;active artist/athlete;
97;Sikar district: Administration | Sub divisions, tehsils, sub tehsils, panchyat samitis and villages;closed;;list of fixed categories;
98;I Like That (Houston song): Charts and certifications | Year-end charts;closed;;Chart positions of non-current pieces of music are considered closed;
99;2003 Kettering Borough Council election: Ward-by-Ward Results | Piper's Hill (Kettering BC Ward)Piper's Hill Ward (2 seats);closed;;past, closed time period;
100;Freestyle skiing at the 1988 Winter Olympics: Women's event | Aerials;closed;;past, closed time period;
101;Ones (album): Charts | Weekly charts;closed;;Chart positions of non-current pieces of music are considered closed;
102;Mexico at the Olympics: List of medalists | Summer Olympics;open;;new medallists are added as new rows, medallists with more than one medal moved to other table;
103;The Apprentice (British series 2): Series overview | Candidates;closed;15;past, closed time period;https://the-apprentice-uk.fandom.com/wiki/Series_2#Candidates
104;Chantal Lefebvre: Programs | With Markov;closed;;retired artist/athlete;
105;Figure skating at the Olympic Games: Events;open;;disciplines are subject to change;
106;1974 World Artistic Gymnastics Championships: Men | Floor Exercise;closed;;past, closed time period;
107;Doping at the Olympic Games: Summer Olympic Games | 2012 London | Did not start;closed;;past, closed time period;
108;List of companies traded on the JSE: C;open;;companies traded on the JSE changes;
109;Den Haag Centraal railway station: Tram services;open;;public transport is subject to change (similar to table 127);
110;Harry J. Collins: Decorations;closed;;deceased person;
111;2004-05 FIS Ski Jumping World Cup: Individual World Cup | Nordic Tournament | Kuopio;closed;;past, closed time period;
112;Belgian Sportsman of the year: Breakdown of winners by sport | Talent;open;;number of sports may change;
113;Sarah Gadon: Awards and nominations;open;;active artist/athlete;
114;Kunihiko Yuyama: Filmography | Anime;open;;active artist/athlete;
115;1997 Michigan Wolverines football team: Players | Team members advancing to the NFL;closed;;past, closed time period;
116;Bulgarian conjugation: Non-finite forms | Past Passive Participle;closed;;conjugation is assumed to be closed;
117;MySims: Sequels;open;;active videogame ;
118;Coupe Dodge: Coupe Dodge (women's) | Tournaments | 2008;closed;;past, closed time period;
119;Olivia Tennet: Filmography | Stage;open;;active artist/athlete;
120;Alabama discography: Live albums;open;;active artist/athlete;
121;I Could Fall in Love with You: Charts;closed;;Chart positions of non-current pieces of music are considered closed;
122;Perfect (Exceeder): Charts and certifications | Weekly charts;closed;;Chart positions of non-current pieces of music are considered closed;
123;SV Saar 05 Saarbr�cken: Recent seasons;open;;active sports club, continuous list with one line per season;
124;1998 in Swedish football: Promotions, relegations and qualifications | Relegations;closed;;past, closed time period;
125;FIS Alpine World Ski Championships 1991: Men's competitions | Giant Slalom;closed;4;past, closed time period;fixed length
126;2007 New York Yankees season: Player stats | Pitching | Starting pitchers;closed;;past, closed time period;
127;List of NJ Transit bus routes (500 - 549): Routes;open;;public transport is subject to change (similar to table 109);
128;Stand My Ground: Chart performance;closed;;Chart positions of non-current pieces of music are considered closed;
129;List of wheat diseases: Fungal diseases;closed;;similar to list of animal species;
130;Bow Wow discography: Albums | Collaborative albums;open;;active artist/athlete;
131;2011 National Assembly for Wales election: Target seats for the main parties | Liberal Democrat Targets;closed;;past, closed time period;
132;International cricket in 2007-08: October | South Africa in Pakistan;closed;10;past, closed time period;"https://www.espncricinfo.com/ci/engine/series/index.html?season=2007%2F08;view=season"
133;List of oldest and youngest Academy Award winners and nominees: Academy Award for Best Supporting ActressBest Actress in a Supporting Role | Oldest winners;closed;11;fixed list length, standardized to 10 elements;
134;FIS Nordic World Ski Championships 2013: Events | Cross-country skiing | Women's;closed;7;past, closed time period;https://www.the-sports.org/cross-country-skiing-fis-nordic-world-ski-championships-results-2012-2013-women-epf24587.html
135;2006-07 Liga I: Teams | Personnel and kits;closed;;past, closed time period;
136;1933 Ice Hockey World Championships: Final Rankings  -  World Championship;closed;13;past, closed time period;https://internationalhockey.fandom.com/wiki/1933_World_Ice_Hockey_Championships
137;Mos Def discography: Singles | As featured performer;open;;active artist/athlete;
138;List of Italian flags: Historical flags | Pre-unitarian flags (until 1848);closed;;past, closed time period;
139;Wesley Woodyard: Professional career | NFL statistics | Regular season;open;;active artist/athlete;
140;2008 NFL season: Regular season statistical leaders;closed;;past, closed time period;
141;Lucas Barrios: Career statistics | Club;open;;active artist/athlete;
142;List of American films of 1987: H-M;closed;;past, closed time period;
143;List of American films of 1982: A-B;closed;;past, closed time period;
144;2007 - 08 Florida Panthers season: Schedule and results | December;closed;;past, closed time period;
145;Shabir Ahluwalia: Filmography | Films;open;;active artist/athlete;
146;1992 in Armenian football: Armenian Premier LeaguePremier League | Final Table;closed;;past, closed time period;
147;USA Today All-USA high school football team: Teams | 2016 team;closed;;past, closed time period;
148;List of BSE SENSEX companies: Current;closed;;list is standardized to 30, the contents of the list may change nevertheless;
149;2007 - 08 Nashville Predators season: Awards and records | Milestones;closed;;past, closed time period;
150;List of United States Supreme Court cases by the Roberts Court: Roberts Court 2012 term;closed;;past, closed time period;
151;Malaysia men's national field hockey team: Competition history | Sultan Azlan Shah Cup;open;;continuous list of sporting events;
152;2006 PGA Championship: Round summaries | Third round;closed;;past, closed time period;
153;Football at the Pacific Games: Pacific Games | Men's tournament | Top goalscorers: men;open;;continuous list, new items are added as new rows;
154;2000 - 01 Coppa Italia: Seedings and format | Group C;closed;;past, closed time period;
155;Argentina national under-20 football team: Top goalscorers;open;;continuous list, new items are added as new rows;
156;List of Philadelphia Flyers draft picks: Key;closed;;legend of a table, assumed to be closed;
157;Leandro Carrijó: Career statistics | South China;open;;active artist/athlete;
158;Margalita Chakhnashvili: ITF finals (15 - 22) | Singles (10 - 12);closed;23;retired artist/athlete;https://www.itftennis.com/en/players/margalita-chakhnashvili-ranzinger/800209179/geo/wt/s/activity/#pprofile-info-tabs
159;1976 Cincinnati Reds season: Player stats | Pitching | Starting pitchers;closed;7;past, closed time period;https://www.baseball-reference.com/teams/CIN/1976-pitching.shtml
160;List of Galatasaray S.K. managers: Statistics;open;;continuous list, new items are added as new rows;
161;Buck Owens discography: Studio albums;closed;;deceased artist/athlete;
162;Ksenia Palkina: ITF Circuit finals | Doubles: 50 (26 - 24);closed;54;retired artist/athlete;https://www.wtatennis.com/players/312755/ksenia-ulukan#matches
163;Paul Jefferson: Discography | Singles;open;;active artist/athlete;
164;2009 Russian Figure Skating Championships: Senior results | Ice dancing;closed;11;past, closed time period;https://archive.ph/20100114023207/http://www.goldskate.ru/news/fullnewseng.shtml?newsid=384
165;2007 Russian Figure Skating Championships: Junior results | Ladies;closed;18;past, closed time period;https://archive.ph/20071209103722/http://goldskate.ru/news/fullnewseng.shtml?newsid=278
166;The Bangles discography: Albums | Studio albums;open;;active artist/athlete;
167;2 22 honeycomb: Related honeycombs;closed;;closed theory;
168;Buck Owens discography: Compilation albums;closed;;deceased artist/athlete;
169;List of ultras of Northeast Asia: Kuril Islands;closed;7;similar to list of animal species;
170;Connor Wickham: Career statistics;open;;active artist/athlete;
171;David Costabile: Filmography | Film;open;;active artist/athlete;
172;Ross Pearson: Filmography | Video games;closed;4;retired artist/athlete;https://www.giantbomb.com/ross-pearson/3005-15305/games/
173;The Boat That Rocked (soundtrack): Charts;closed;;Chart positions of non-current pieces of music are considered closed;
174;Japan at the Rugby World Cup: By match | 1991;closed;;past, closed time period;
175;List of Sicilian consorts: Queens consort of Sicily | House of Trastamara, 1412 - 1516;closed;;past, closed time period;
176;2011 European Figure Skating Championships: Results | Pairs;closed;16;past, closed time period;http://www.isuresults.com/results/ec2011/
177;Detroit Mercy Titans track and field: Top 10 List | 3000 Meter Steeplechase;closed;11;Liste mit fester L�nge;
178;Detroit Mercy Titans track and field: Top 10 List | Shot Put;closed;11;Liste mit fester L�nge;
179;Chidambaram (state assembly constituency): Tamil Nadu;open;;continuous list, new items are added as new rows;
180;List of Hispanic astronauts: ;open;;continuous list, new items are added as new rows;
181;2009 Dally M Awards: Dally M Awards;closed;11;past, closed time period;http://awardsandwinners.com/category/dally-m-awards/2009/
182;2009 Mid-American Conference football season: Regular season | Week one;closed;13;past, closed time period;https://bleacherreport.com/articles/228156-previewing-the-2009-mid-american-conference-schedule-analysis
183;25th Primetime Emmy Awards: Winners and nominees | Programs;closed;12;past, closed time period;http://awardsandwinners.com/category/primetime-emmy-award/1973/
184;List of United States tornadoes from September to October 2009: October | October 30event;closed;5;past, closed time period;https://www.spc.noaa.gov/climo/reports/091030_rpts.html
185;2009 - 10 Notts County F.C. season: Squad | Statistics | Disciplinary record;closed;;past, closed time period;
186;International cricket in 2010: May | South Africa in the West Indies;closed;14;past, closed time period;https://www.espncricinfo.com/series/south-africa-tour-of-west-indies-2010-439110/match-schedule-fixtures-and-results
187;District of Columbia Fire and Emergency Medical Services Department: Stations and apparatus;open;;stations are subject to change;
188;Robert Primus: Career statistics | Club;open;;active artist/athlete;
189;List of college athletic programs in Oregon: NCAA | NCAA Division IDivision I;open;;programs are subject to change;
190;Vinnaithaandi Varuvaayaa (soundtrack): Track listing;closed;8;track list of a released album;https://open.spotify.com/album/1VAR4nGvZh6KW3PLioooYM
191;2010 Chinese Figure Skating Championships: Results | Men;closed;;past, closed time period;
192;2010 Caisse d'Epargne season: ;closed;;past, closed time period;
193;X Factor (Bulgarian TV series): Table results | Series 2;closed;;past, closed time period;
194;List of FIDE chess world number ones: Women | Women statistics;open;;continuous list, new items are added as new rows;
195;Intel Graphics Technology: Capabilities;open;;technology develops;
196;Drop the World: Chart positions;closed;;Chart positions of non-current pieces of music are considered closed;
197;2010 UCI Road World Championships  -  Men's road race: Final classification;closed;;past, closed time period;
198;Candidates of the 2010 Victorian state election: Legislative Council | Southern Metropolitan;closed;;past, closed time period;
199;2010 Formula BMW Pacific season: Standings | Teams' Championship;closed;;past, closed time period;
200;Britney Spears Live: The Femme Fatale Tour: Video release | Charts;closed;;Chart positions of non-current pieces of music are considered closed;
201;2012 IIHF World Women's U18 Championship: Top Division | Preliminary round | Group A;closed;;past, closed time period;
202;2012 - 13 ISU Grand Prix of Figure Skating: Medal summary;closed;;past, closed time period;
203;List of opioids: Open-chain compoundOpen chain opioids | Moramides;closed;;similar to a list of animal species;
204;2011 - 12 Slovenian Basketball League: Champions standings;closed;8;past, closed time period;sind im darauffolgenden Jahr auch 8, in den Jahren davor auch 8
205;2011 - 12 Balmazújvárosi FC season: Statistics | Top scorers;closed;;past, closed time period;
206;Crosses in heraldry: Named variants | Equal limbs;closed;;similar to a list of animal species;
207;2011 MLS Expansion Draft: Team-by-team-breakdown | New England Revolution;closed;;past, closed time period;
208;2011 IKF World Korfball Championship: Semifinals | 13th - 16th places;closed;2;past, closed time period;auch wieder 4 Taems gegeneinander
209;Maradana railway station: Services | Inter-city trains;open;;public transport is subject to change;
210;List of awards and nominations received by Nora Aunor: Movie awards and recognition | Others;open;;active artist/athlete;
211;Alabama Crimson Tide football under Nick Saban: First Team All-Americans;open;;continuous list, new items are added as new rows;
212;2013 Copa Perú: National Stage | Round of 16;closed;10;continuous list, new items are added as new rows;"Round of 16: 16 Teams aufgeteilt in 8 Spiele; 2 Zeilen header"
213;David Dastmalchian: Filmography | Music videos;open;;active artist/athlete;
214;New Zealand's Got Talent (series 3): Semi-final summary | Fifth Semi-Final, Week 5 (17 November);closed;6;past, closed time period;in jedem Smi-finale sind 6 Teilnehmer*innen
215;Kaohsiung International Marathon: Past winners | Marathon;open;;continuous list, new items are added as new rows;
216;Mitchel Wongsodikromo: Achievements with results | BWF International Series/ Future Series;closed;;retired artist/athlete;
217;2013 World Series of Poker results: Results | anchorEvent 3 Event #3: $1,000 No Limit Hold'em Re-entry;closed;;past, closed time period;
218;2013 - 14 Scottish Championship: Teams | Personnel and kits;closed;;past, closed time period;
219;Betty Who: Discography | Studio albums;open;;active artist/athlete;
220;List of Wishbone Ash members: Members | Former;open;;continuous list, new items are added as new rows;
221;High jump at the Olympics: Medalists | Women | Multiple medalists;open;;continuous list, new items are added as new rows;
222;2014 - 15 Isthmian League: League Cup | Calendar;closed;7;past, closed time period;sind immergleich viele Runden
223;How to Get Away with Murder: Reception | Accolades;closed;;abgeschlossene Serie;
224;2014 Little League World Series qualification: International | Little League World Series in EuropeEurope & Africa;closed;;past, closed time period;
225;2014 - 15 Colchester United F.C. season: Transfers | Loans in;closed;;past, closed time period;
226;2014 Indian general election in West Bengal: List of elected members;closed;;past, closed time period;
227;Ayutthaya Women's Volleyball Club: Former squad;closed;21;team size is fixed;
228;Beauty & the Beast (season 2): DVD release;closed;;past, closed time period;
229;2014 - 15 New York Rangers season: Roster | Injuries;closed;;past, closed time period;
230;EuroLeague All-Final Four Team: EuroLeague All-Final Four Team (1991 - 2001) | 1997 FIBA EuroLeague Final Four;closed;5;past, closed time period;sind immer 5
231;List of Malaysian films of 2008: 2008 | January  -  March;closed;;past, closed time period;
232;List of boundary changes in the West Midlands (region): Electoral boundaries | Further electoral reviews by the LGBCE;open;;electoral boundaries may change;
233;2016 - 17 ISU Junior Grand Prix: Overall standings | Standings per nation;closed;11;past, closed time period;https://isu.org/figure-skating/events/junior-grand-prix-of-figure-skating/jgp-archives/2016-17-4/15181-junior-grand-prix-standings-nation-2016-17/file
234;2015 - 16 Uruguayan Primera División season: Championship playoff | Semifinal;closed;;past, closed time period;
235;U.S. Navy and U.S. Marine Corps Aircraft Tail Codes: List of Navy and Marine Aircraft Tail Codes;open;;new codes may be added;
236;HDD Jesenice: Season-by-season record;open;;active artist/athlete;
237;Major achievements in handball by nation: Results | Indoor handball, beach handball and field handball | Women;open;;list grows due to rank binding;
238;2016 Colchester Borough Council election: Ward Results | New Town & Christ Church;closed;;past, closed time period;
239;Two Yoo Project Sugar Man: List of episodes | Season 2;closed;20;past, closed time period;https://mydramalist.com/26874-two-yoo-project-sugar-man-season-2/episodes
240;2018 Colorado Rockies season: Regular season | Postseason Game Log;closed;;past, closed time period (table no longer exists);
241;2017 - 18 Women's Volleyball Thailand League: Teams | National team players;closed;;past, closed time period;
242;2017 Terengganu FA season: Squad information | First team squad;closed;25;past, closed time period;https://www.transfermarkt.com/terengganu-fc/startseite/verein/15838?saison_id=2017
243;2017 Quebec municipal elections: Laurentides | Sainte-Adèle, QuebecSainte-Adèle;closed;;past, closed time period;
244;JoJo Natson: College career;closed;;past, closed time period;
245;New Energy (album): Accolades;closed;;Chart positions of non-current pieces of music are considered closed;
246;Jo Hartley: TV;open;;active artist/athlete;
247;2017 Women's World Floorball Championships: Final ranking;closed;16;past, closed time period;http://floorball.org/wfc2017/#undefined
248;List of Presidents of the New York Public Library: Lenox Library;open;;continuous list, new items are added as new rows;
249;2017 - 18 Women's Volleyball Thailand League: Teams | Members;closed;10;past, closed time period;dbpedia
